epoch,loss,acc
1,3.3136657703490484,0.15496341765873015
2,2.5250661221761552,0.30317615327380953
3,1.9183924113001143,0.4461418030753968
4,1.6780372697209556,0.5097501240079365
5,1.5255381133821275,0.539488777281746
6,1.421307503230988,0.5554005456349206
7,1.3584407823426383,0.5679175967261905
8,1.3112310795556932,0.5792023189484127
9,1.265426478688679,0.5938740079365079
10,1.2258990345493195,0.6039496527777778
11,1.193407292403872,0.6122349330357143
12,1.1594494510264624,0.6232716393849206
13,1.1268336266752272,0.6334247891865079
14,1.0965894271457006,0.6442212301587301
15,1.0698365640072596,0.6527235243055556
16,1.0475968131943354,0.6599237351190477
17,1.022439904629238,0.6676974826388888
18,0.999510373388018,0.6748511904761905
19,0.9730678546050239,0.6844773065476191
20,0.9558066460821364,0.6891973586309523
21,0.9336423940128751,0.6955372643849206
22,0.9122773905595144,0.7028304811507936
23,0.8927020846851288,0.7083100818452381
24,0.8718237810664706,0.7160993303571429
25,0.8534864717059665,0.7211061507936508
26,0.8361954409924764,0.7254929315476191
27,0.8183659419180855,0.7322746155753969
28,0.7983248867685833,0.7383975074404762
29,0.782001111715559,0.7440088665674603
30,0.7661808837973882,0.7480003720238095
31,0.7524801942091139,0.7533172123015873
32,0.7332988821324848,0.7597268725198413
33,0.7202210771659064,0.7619590153769841
34,0.7058283871128446,0.7673533606150794
35,0.6944700739686451,0.7712208581349206
36,0.6807281327626061,0.7763749379960317
37,0.6681047072486271,0.7791108630952381
38,0.6531242912723905,0.7845594618055556
39,0.6385470869995299,0.7895042782738095
40,0.6258211164247423,0.7931160094246031
41,0.6111563694855523,0.7978283110119048
42,0.5991873100163445,0.8015795510912699
43,0.589096160871642,0.8046332465277778
44,0.5785818104706113,0.8074001736111112
45,0.566316071483824,0.8115311879960317
46,0.5543699564914855,0.8152359250992064
47,0.5449630026779477,0.8189329117063492
48,0.5344014827694211,0.8217618427579365
49,0.5196081116085961,0.8283962673611112
50,0.5098608642343491,0.8296053447420635
51,0.501860766656815,0.8328062996031746
52,0.49209053601537434,0.8357979910714286
53,0.48235363241225954,0.8392624627976191
54,0.4755482659453437,0.8411845858134921
55,0.46453376658379086,0.8450985863095238
56,0.45621070123854135,0.8474934895833334
57,0.4468194400034254,0.8505084325396826
58,0.438149051533805,0.8531125992063492
59,0.432822351890897,0.855011470734127
60,0.42626163197888267,0.8578016493055556
61,0.4188671376970079,0.8596695188492064
62,0.4100033513137272,0.8617621527777778
63,0.40427497809841517,0.8644050719246031
64,0.3988136462275944,0.866148933531746
65,0.3935327510985117,0.8667457217261905
66,0.38378104922317324,0.8700241815476191
67,0.3784812194487405,0.8730236235119048
68,0.3721787785253828,0.8753022693452381
69,0.36837678343530683,0.8761470734126984
70,0.3640444011442245,0.8781544518849206
71,0.3581712766299172,0.8792860243055556
72,0.35290423319453285,0.8810376364087301
73,0.3461702071012013,0.8829287574404762
74,0.34218400101813057,0.8849361359126984
75,0.33832804740421357,0.885711185515873
76,0.3310497086199503,0.8880518353174603
77,0.3302214245001475,0.887633308531746
78,0.3223017250734662,0.8915240575396826
79,0.316467242108451,0.8932136656746031
80,0.31076166766976554,0.8955775669642857
81,0.3084353407224019,0.8957093253968254
82,0.3034088231977962,0.897034660218254
83,0.30110657025897314,0.8987010168650794
84,0.29736460993687314,0.899445064484127
85,0.28883614935099133,0.9024755084325397
86,0.2878078996898636,0.9027545262896826
87,0.2864318222753585,0.9031420510912699
88,0.2809328430938342,0.9049556671626984
89,0.27992079501587247,0.9058702256944444
90,0.2776755445769855,0.9059244791666666
91,0.27322146899643396,0.9076140873015873
92,0.26894276896639474,0.9088774181547619
93,0.26527496793913463,0.9105127728174603
94,0.2639097598573518,0.9105282738095238
95,0.259110617850508,0.9123496403769841
96,0.2578401423635937,0.9123108878968254
97,0.25419471732207705,0.9141865079365079
98,0.2534146026249916,0.9142330109126984
99,0.24771659596571846,0.9152870783730159
100,0.25076298581229317,0.9154885912698413
